pathECMWF,leadTime,year,month,day
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-23.npy,9,2020,6,23
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,17,2011,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,37,2012,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,25,2019,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,10,2012,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,36,2018,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,39,2013,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,12,2014,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-15.npy,34,2017,9,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,9,2020,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,36,2012,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-09.npy,40,2020,6,9
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-25.npy,40,2020,8,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,32,2012,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,38,2011,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,27,2011,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,13,2012,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,23,2014,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,36,2019,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-27.npy,33,2014,6,27
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,9,2016,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,35,2018,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,39,2014,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,14,2011,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-28.npy,28,2012,7,28
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,37,2010,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,23,2018,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,24,2015,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-13.npy,23,2011,6,13
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,34,2019,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,19,2018,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,36,2019,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,46,2016,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-13.npy,21,2016,6,13
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-22.npy,39,2019,9,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,33,2011,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,27,2015,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-23.npy,21,2018,6,23
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,10,2016,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-25.npy,23,2012,8,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,32,2019,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,16,2010,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-27.npy,9,2015,6,27
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,27,2015,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-28.npy,36,2021,7,28
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,17,2014,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,31,2016,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,37,2015,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,26,2012,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,42,2010,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,11,2017,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,34,2020,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,33,2016,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,45,2017,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,36,2019,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,40,2016,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,40,2011,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,20,2016,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-01.npy,35,2010,8,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,38,2012,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,36,2014,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,35,2019,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,14,2018,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-27.npy,9,2013,6,27
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,20,2016,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,42,2019,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,44,2011,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,32,2020,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,32,2012,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,20,2013,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-22.npy,20,2015,9,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,15,2018,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-22.npy,23,2012,9,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,23,2020,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,41,2013,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,43,2021,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,34,2019,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,11,2020,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,37,2016,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,11,2013,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,41,2017,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,36,2021,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,8,2020,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,33,2013,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,44,2017,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-27.npy,20,2021,6,27
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,10,2019,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,31,2013,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,36,2012,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-15.npy,19,2012,9,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,24,2018,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,28,2017,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,12,2021,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-27.npy,22,2012,6,27
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,45,2015,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,9,2014,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-13.npy,37,2011,6,13
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-08.npy,43,2014,9,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,9,2018,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-15.npy,44,2019,9,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,21,2017,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,13,2010,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,31,2010,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,29,2010,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-29.npy,27,2017,9,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,23,2016,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,23,2018,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,27,2021,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,7,2020,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,38,2016,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,12,2010,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,28,2011,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-04.npy,19,2018,8,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,21,2016,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,17,2012,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-23.npy,30,2014,6,23
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,30,2020,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-04.npy,7,2013,8,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,16,2018,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-25.npy,9,2012,8,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,41,2015,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-29.npy,43,2011,9,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,45,2018,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,37,2019,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-23.npy,43,2020,6,23
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,16,2012,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,10,2021,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,22,2011,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,20,2010,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,12,2015,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,42,2020,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,36,2016,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-08.npy,22,2014,9,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,32,2010,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,14,2016,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,7,2018,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-01.npy,39,2019,8,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,14,2017,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,43,2012,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,43,2012,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,13,2017,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,40,2019,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,33,2018,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,19,2012,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,8,2020,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-25.npy,30,2011,8,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,42,2017,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,19,2010,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,34,2012,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,12,2010,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,42,2016,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,23,2015,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,28,2012,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,8,2013,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-13.npy,40,2013,6,13
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-09.npy,41,2011,6,9
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,15,2014,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,26,2021,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,21,2021,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,44,2018,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,23,2011,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,21,2013,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,44,2013,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,19,2017,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,22,2014,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-08.npy,8,2015,9,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-23.npy,34,2017,6,23
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,12,2011,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,25,2021,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,24,2013,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,13,2011,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,21,2018,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,13,2021,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,31,2010,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,41,2015,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,12,2015,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,32,2015,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,43,2018,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,24,2015,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-18.npy,24,2020,8,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-06.npy,12,2010,6,6
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,16,2014,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,34,2016,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-09.npy,18,2021,6,9
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,21,2015,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-19.npy,21,2015,9,19
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,25,2018,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,24,2010,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,37,2019,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,8,2014,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,43,2014,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-13.npy,37,2020,6,13
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,45,2018,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-29.npy,19,2016,9,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-28.npy,26,2015,7,28
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-29.npy,39,2017,9,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-08.npy,39,2014,9,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-30.npy,9,2019,6,30
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,16,2016,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-29.npy,42,2014,9,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,31,2014,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-14.npy,11,2014,7,14
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,32,2021,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,7,2018,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,19,2019,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,8,2019,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,13,2015,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,16,2018,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,22,2016,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,42,2013,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,10,2010,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-04.npy,19,2013,8,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,19,2013,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-18.npy,26,2012,7,18
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,28,2015,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-25.npy,31,2013,7,25
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-02.npy,33,2020,6,2
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-20.npy,33,2013,6,20
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,29,2014,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-29.npy,20,2012,8,29
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,16,2016,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-08.npy,31,2014,8,8
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,9,2019,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-06-16.npy,36,2016,6,16
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-21.npy,21,2015,7,21
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-04.npy,17,2020,7,4
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-22.npy,13,2014,8,22
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-05.npy,40,2017,9,5
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-11.npy,32,2013,7,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-26.npy,33,2013,9,26
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-01.npy,38,2016,8,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,21,2014,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-15.npy,30,2017,8,15
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-11.npy,7,2011,8,11
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,42,2015,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-12.npy,17,2019,9,12
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-09-01.npy,38,2012,9,1
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-07-07.npy,10,2011,7,7
/mnt/disk1/env_data/S2S_0.125/nparr_reg_1/Step24h/2022-08-04.npy,37,2010,8,4
